選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
青　木,3,65,67,73,54,57,65,ヤクルト,23
山　田,3,63,80,81,65,72,57,ヤクルト,1
雄　平,2,58,63,71,88,58,52,ヤクルト,41
中　村,2,51,46,56,82,60,53,ヤクルト,52
エスコバー,2,45,47,60,87,69,48,ヤクルト,2
坂　口,2,45,40,70,58,67,55,ヤクルト,42
太　田,2,41,46,63,66,58,52,ヤクルト,46
山　崎,2,41,41,78,60,51,43,ヤクルト,31
川　端,2,40,47,62,58,46,50,ヤクルト,5
塩　見,3,40,61,82,60,63,35,ヤクルト,9
藤　井,2,39,40,75,76,70,36,ヤクルト,0
吉田大成,2,38,40,67,73,63,55,ヤクルト,66
中　山,2,37,67,61,64,39,30,ヤクルト,8
村　上,4,36,81,64,61,35,34,ヤクルト,55
西　浦,3,35,59,60,51,67,63,ヤクルト,3
田　代,3,33,40,77,64,68,61,ヤクルト,65
上　田,2,32,44,80,72,62,30,ヤクルト,50
宮　本,3,30,41,62,45,43,57,ヤクルト,39
古　賀,2,27,28,46,73,41,33,ヤクルト,57
松　本,3,27,40,50,84,42,40,ヤクルト,32
濱　田,3,27,52,58,59,31,25,ヤクルト,51
廣　岡,3,24,68,54,65,53,37,ヤクルト,36
大　村,3,23,44,45,74,36,40,ヤクルト,59
長　岡,2,23,37,66,60,48,41,ヤクルト,58
奥　村,2,23,39,62,58,55,50,ヤクルト,00
西　田,3,20,47,51,74,45,51,ヤクルト,30
荒　木,3,19,56,60,62,51,53,ヤクルト,10
渡　邉,3,19,47,75,55,30,28,ヤクルト,49
武　岡,2,19,40,70,64,43,32,ヤクルト,60
井　野,2,18,41,44,53,51,34,ヤクルト,63
嶋,2,16,39,58,48,56,37,ヤクルト,45
糸　井,2,75,62,75,87,28,41,阪神,7
マルテ,2,54,71,35,70,60,41,阪神,31
糸　原,2,54,46,63,64,50,62,阪神,33
近　本,3,54,60,90,41,38,50,阪神,5
福　留,3,51,61,36,64,68,82,阪神,8
サンズ,3,48,72,38,60,35,33,阪神,52
梅　野,3,48,59,61,76,74,80,阪神,44
原　口,3,47,54,44,48,46,40,阪神,94
北　條,3,47,55,57,59,60,48,阪神,2
木　浪,2,46,51,64,60,46,36,阪神,0
上　本,3,43,52,65,47,61,50,阪神,00
ボーア,4,42,81,29,63,27,54,阪神,41
大　山,4,40,63,58,80,75,31,阪神,3
坂　本,2,37,47,56,55,52,64,阪神,12
俊　介,3,34,43,76,62,60,72,阪神,68
板　山,2,32,52,72,71,48,44,阪神,63
陽　川,4,32,66,65,68,46,43,阪神,55
植　田,1,31,29,84,58,43,44,阪神,62
熊　谷,1,30,34,79,68,53,45,阪神,4
島　田,2,30,41,87,65,50,50,阪神,53
荒　木,1,28,35,81,51,49,46,阪神,58
長　坂,2,28,41,54,61,40,44,阪神,39
片　山,3,27,51,58,67,33,35,阪神,95
中　谷,4,25,65,60,76,64,61,阪神,60
小　幡,2,24,42,77,79,40,33,阪神,38
伊藤隼,2,24,50,62,45,28,26,阪神,51
遠　藤,3,21,46,63,68,27,34,阪神,45
井　上,3,18,60,52,71,26,37,阪神,32
藤　田,2,16,43,60,75,29,33,阪神,59
江　越,3,15,68,85,83,66,52,阪神,25
丸,3,68,75,70,59,76,51,巨人,8
坂　本,3,66,81,74,80,69,60,巨人,6
亀　井,3,63,66,70,80,69,51,巨人,9
岡　本,3,56,80,43,60,41,55,巨人,25
吉川尚,2,50,47,80,61,82,52,巨人,29
パーラ,3,49,61,53,72,71,73,巨人,88
陽,3,48,64,72,60,66,55,巨人,2
重　信,2,47,46,90,64,45,32,巨人,43
大　城,3,46,59,43,74,45,46,巨人,24
若　林,3,43,55,70,68,51,43,巨人,37
中　島,3,43,63,34,57,36,46,巨人,5
小　林,2,42,41,29,88,62,61,巨人,22
山　下,3,40,53,51,42,35,25,巨人,99
炭　谷,3,38,54,58,78,70,40,巨人,27
山　本,3,34,41,67,67,48,33,巨人,56
増田大,2,32,38,73,60,50,39,巨人,0
岸　田,2,32,40,55,73,48,39,巨人,38
石　川,3,31,52,66,66,45,39,巨人,36
北　村,3,30,53,52,48,48,31,巨人,52
田中俊,2,29,51,60,40,60,42,巨人,51
菊　田,4,29,59,40,52,31,27,巨人,60
松　原,2,29,37,84,63,60,33,巨人,59
増田陸,2,28,49,62,53,41,38,巨人,61
加　藤,3,28,48,68,75,48,41,巨人,94
田中貴,2,27,35,41,68,46,51,巨人,69
立　岡,2,26,24,70,67,55,35,巨人,39
湯　浅,2,25,32,58,42,58,37,巨人,93
吉川大,3,23,32,70,63,60,38,巨人,00
伊　藤,3,22,52,50,62,33,32,巨人,97
山　瀬,2,19,28,41,82,44,41,巨人,67
モ　タ,3,18,76,72,70,26,25,巨人,44
村　上,3,16,49,68,60,44,42,巨人,66
松　井,3,13,44,67,54,33,32,巨人,65
鈴木誠,3,76,78,68,88,60,39,広島,1
西　川,3,67,67,72,58,49,43,広島,63
松　山,3,53,60,50,72,37,29,広島,55
會　澤,3,50,68,44,64,46,51,広島,27
野　間,2,49,53,91,90,72,67,広島,37
ピレラ,3,48,64,62,73,46,39,広島,10
菊　池,2,47,58,72,76,77,80,広島,33
メヒア,3,46,77,55,64,43,48,広島,96
大　盛,2,45,46,75,71,45,40,広島,59
安　部,2,45,53,72,66,66,57,広島,6
宇　草,3,44,50,81,48,39,42,広島,38
田　中,2,43,53,74,58,72,57,広島,2
坂　倉,2,42,46,71,69,43,43,広島,61
長　野,3,41,61,66,78,43,47,広島,5
磯　村,2,38,55,45,56,45,51,広島,40
小　窪,2,35,49,49,49,48,43,広島,4
曽　根,3,34,42,73,70,66,49,広島,00
韮　澤,2,34,38,44,64,34,40,広島,54
小　園,2,34,55,86,63,57,40,広島,51
羽　月,1,33,31,80,65,35,31,広島,69
堂　林,3,31,54,56,70,46,45,広島,7
中村奨,3,29,45,61,87,41,44,広島,22
三　好,2,29,52,70,62,61,51,広島,35
白　濱,2,29,40,36,60,50,64,広島,32
永　井,3,28,47,66,69,41,39,広島,60
石原貴,2,25,40,35,71,39,45,広島,62
林,3,24,58,42,60,32,35,広島,44
中　神,3,23,48,71,70,24,28,広島,56
石原慶,2,23,41,43,68,60,85,広島,31
正　隨,3,21,55,53,61,40,38,広島,49
上　本,2,15,39,62,60,60,70,広島,0
ビシエド,3,71,72,54,78,50,52,中日,66
大　島,2,70,49,87,58,69,75,中日,8
アルモンテ,3,63,69,58,63,42,45,中日,42
高　橋,3,60,60,46,60,65,61,中日,3
平　田,3,58,59,65,73,74,71,中日,6
福　田,3,53,72,53,68,48,45,中日,55
阿　部,3,52,57,55,74,63,62,中日,5
京　田,2,49,50,89,76,83,69,中日,1
藤　井,3,41,54,70,79,48,46,中日,4
遠　藤,3,40,52,75,59,58,45,中日,23
井　領,2,39,45,62,66,56,45,中日,26
郡　司,3,37,52,61,51,36,39,中日,44
加　藤,2,31,38,60,93,46,39,中日,52
武　田,2,29,47,67,84,78,72,中日,56
石川昂,3,29,55,55,62,38,35,中日,2
石川駿,2,28,49,62,50,44,44,中日,9
堂　上,3,28,66,55,75,78,59,中日,63
渡　辺,2,26,45,65,51,35,38,中日,31
三ツ俣,3,26,42,50,70,59,42,中日,37
桂,3,25,53,42,83,46,41,中日,68
滝　野,2,24,43,69,56,38,33,中日,51
木下拓,3,24,41,45,78,60,58,中日,35
伊藤康,2,23,44,80,60,40,41,中日,49
溝　脇,2,22,32,67,52,48,46,中日,48
石　垣,3,22,46,72,55,48,34,中日,32
大野奨太,2,21,44,48,56,75,70,中日,27
根　尾,3,20,42,65,79,42,32,中日,7
岡　林,3,19,44,78,76,25,32,中日,60
石　橋,3,18,49,48,73,36,39,中日,58
ソ　ト,3,56,88,42,70,50,37,DeNA,99
ロペス,3,53,77,49,66,62,85,DeNA,2
神　里,2,51,57,83,68,72,36,DeNA,8
佐　野,4,49,67,53,68,41,38,DeNA,44
伊藤光,2,45,61,58,69,51,44,DeNA,29
柴　田,2,44,49,58,55,68,70,DeNA,31
倉　本,2,40,43,59,50,43,59,DeNA,5
関　根,3,40,51,77,67,54,40,DeNA,63
梶　谷,3,39,70,82,56,66,57,DeNA,3
中　井,3,38,48,50,65,40,40,DeNA,0
楠　本,2,37,42,73,52,46,40,DeNA,37
森,2,36,44,81,74,35,32,DeNA,6
伊藤裕,3,36,66,55,50,39,37,DeNA,4
乙　坂,3,35,51,71,60,48,42,DeNA,33
石　川,2,35,49,70,48,62,46,DeNA,42
桑　原,3,34,60,82,62,74,62,DeNA,1
百　瀬,2,34,36,78,57,48,44,DeNA,64
蝦　名,3,31,50,70,71,42,37,DeNA,61
オースティン,3,31,78,50,63,48,55,DeNA,23
細　川,4,30,69,60,69,32,34,DeNA,52
田　部,3,28,46,51,62,38,36,DeNA,55
嶺　井,3,28,55,51,68,53,58,DeNA,39
大　和,2,28,38,79,74,79,64,DeNA,9
知　野,3,26,57,70,71,45,23,DeNA,60
飛雄馬,2,24,43,51,61,59,38,DeNA,40
戸　柱,3,22,56,50,55,51,60,DeNA,10
山　本,2,21,48,50,74,41,38,DeNA,50
山　下,2,21,46,62,75,46,43,DeNA,38
東　妻,3,20,45,60,82,40,36,DeNA,57
宮　本,3,20,51,78,63,45,45,DeNA,00
益　子,2,18,38,45,88,36,33,DeNA,32
