選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
青　木,3,95,56,76,65,76,38,ヤクルト,1
田中浩,2,65,41,63,51,74,44,ヤクルト,7
相　川,3,59,54,39,68,65,42,ヤクルト,2
宮　本,2,58,40,48,52,77,41,ヤクルト,6
川　端,2,52,44,65,62,58,49,ヤクルト,36
畠　山,4,52,61,33,52,39,52,ヤクルト,33
ホワイトセル,3,52,68,46,50,46,46,ヤクルト,53
バレンティン,4,48,70,45,64,52,50,ヤクルト,4
中　村,3,46,34,46,62,44,46,ヤクルト,52
飯　原,3,45,57,74,70,46,42,ヤクルト,9
武　内,3,39,48,59,56,68,72,ヤクルト,8
新　田,2,39,30,39,56,39,39,ヤクルト,32
中　尾,2,39,35,65,50,39,42,ヤクルト,56
山　田,3,38,38,52,57,52,50,ヤクルト,23
松井淳,3,33,37,48,56,46,52,ヤクルト,57
森　岡,3,33,34,59,50,46,46,ヤクルト,68
吉　本,3,28,37,39,50,59,57,ヤクルト,40
野　口,2,28,35,66,37,65,52,ヤクルト,55
雄　平,3,28,36,65,71,46,55,ヤクルト,41
川　本,3,28,40,63,56,52,50,ヤクルト,28
福　川,3,27,36,33,61,39,26,ヤクルト,37
衣　川,3,26,40,26,62,33,40,ヤクルト,38
西　田,3,26,32,39,53,40,50,ヤクルト,30
水　野,2,26,30,39,56,46,39,ヤクルト,59
鬼　崎,2,26,35,65,56,59,49,ヤクルト,46
又　野,3,26,32,44,53,45,50,ヤクルト,39
福　地,2,26,39,83,44,52,40,ヤクルト,3
藤　本,2,26,38,52,42,70,20,ヤクルト,10
三　輪,3,26,31,68,50,50,52,ヤクルト,60
荒　木,2,26,36,62,62,65,60,ヤクルト,24
ユウイチ,3,26,40,39,50,39,47,ヤクルト,31
川島慶,3,26,41,67,60,50,50,ヤクルト,00
濱　中,3,26,45,46,39,46,59,ヤクルト,0
上　田,3,24,32,65,62,52,52,ヤクルト,50
宮　出,3,24,38,46,70,39,44,ヤクルト,49
ガイエル,4,22,60,37,68,38,26,ヤクルト,5
平　野,1,92,31,78,68,78,53,阪神,5
マートン,3,90,61,59,50,46,66,阪神,9
新　井,3,69,65,46,63,46,35,阪神,25
鳥　谷,3,63,61,67,79,76,77,阪神,1
城　島,4,61,62,46,75,71,47,阪神,2
ブラゼル,4,59,89,26,44,46,51,阪神,67
浅　井,2,59,42,46,72,46,58,阪神,8
林威助,3,54,48,59,50,46,47,阪神,31
俊　介,2,49,34,72,68,72,65,阪神,7
桜　井,4,44,54,52,50,39,26,阪神,51
桧　山,2,42,39,39,47,46,53,阪神,24
大　和,2,41,25,65,50,72,56,阪神,0
関　本,3,39,46,39,62,72,59,阪神,3
上　本,1,39,26,72,56,65,47,阪神,4
坂,2,39,34,52,44,65,52,阪神,35
野原祐,2,39,38,65,68,39,46,阪神,94
金　本,4,36,66,46,11,37,24,阪神,6
新井良,3,34,54,46,44,33,39,阪神,32
甲　斐,2,32,36,66,70,58,45,阪神,44
中　谷,2,31,48,34,57,43,42,阪神,60
藤　井,2,27,26,39,56,58,58,阪神,50
柴　田,2,26,32,74,62,39,49,阪神,00
岡　崎,2,26,32,39,68,46,53,阪神,57
狩　野,3,26,41,69,56,46,33,阪神,99
野原将,2,26,39,52,56,46,46,阪神,37
