選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
坂　口,2,65,45,70,58,72,73,ヤクルト,42
雄　平,2,62,60,71,88,60,52,ヤクルト,41
川　端,2,56,51,65,58,56,50,ヤクルト,5
山　田,3,50,73,81,65,77,62,ヤクルト,1
バレンティン,4,47,80,46,71,37,35,ヤクルト,4
藤　井,2,44,40,75,76,70,36,ヤクルト,51
奥　村,2,41,39,62,58,40,35,ヤクルト,56
中　村,2,39,46,61,82,60,65,ヤクルト,52
上　田,2,38,44,80,72,62,30,ヤクルト,50
山　崎,2,37,41,78,60,51,43,ヤクルト,31
大　引,3,36,53,67,60,58,73,ヤクルト,2
荒　木,3,33,54,60,62,51,53,ヤクルト,10
畠　山,3,32,61,29,54,65,61,ヤクルト,33
村　上,3,31,55,59,51,45,48,ヤクルト,55
武　内,3,30,46,48,46,71,65,ヤクルト,8
三　輪,1,30,29,88,50,54,51,ヤクルト,60
比屋根,3,29,43,90,57,50,18,ヤクルト,0
塩　見,3,28,43,69,60,63,35,ヤクルト,9
谷　内,3,27,48,55,58,64,52,ヤクルト,46
鵜久森,3,26,60,46,46,39,36,ヤクルト,91
西　浦,3,25,51,60,51,50,48,ヤクルト,3
廣　岡,3,24,59,54,57,32,31,ヤクルト,36
西　田,3,22,56,51,74,45,51,ヤクルト,30
田　代,3,22,40,77,64,68,61,ヤクルト,65
宮　本,3,21,40,62,45,43,57,ヤクルト,39
渡　邉,3,20,38,75,55,30,28,ヤクルト,49
大　松,3,20,57,34,54,57,60,ヤクルト,66
井　野,2,19,41,44,68,51,34,ヤクルト,63
古　賀,2,16,22,46,73,41,33,ヤクルト,57
松　本,3,15,39,50,77,37,35,ヤクルト,32
山　川,3,15,47,48,75,39,36,ヤクルト,69
鳥　谷,2,70,49,60,48,51,44,阪神,1
上　本,3,64,59,75,47,69,50,阪神,00
糸　井,3,63,67,84,87,46,44,阪神,7
俊　介,3,58,53,76,62,60,74,阪神,68
ロサリオ,4,55,80,54,72,33,28,阪神,20
西　岡,1,51,40,59,48,42,41,阪神,5
伊藤隼,2,50,55,62,55,28,26,阪神,51
糸　原,2,50,41,66,64,47,40,阪神,33
福　留,3,47,65,41,70,68,82,阪神,8
中　谷,4,45,72,60,76,64,61,阪神,60
今　成,2,45,47,56,59,70,60,阪神,49
坂　本,2,43,47,56,55,52,64,阪神,12
大　山,4,40,64,58,75,44,50,阪神,3
原　口,4,35,60,44,48,46,40,阪神,94
北　條,3,34,53,57,66,52,29,阪神,2
板　山,2,32,43,72,71,39,41,阪神,63
島　田,2,30,41,87,65,46,42,阪神,53
西　田,2,28,25,57,52,37,26,阪神,93
荒　木,1,28,35,86,51,49,46,阪神,58
長　坂,2,28,33,48,61,40,44,阪神,39
緒　方,2,26,48,80,79,35,42,阪神,65
植　田,1,24,29,83,67,55,40,阪神,62
梅　野,2,22,50,61,78,55,62,阪神,44
山　崎,2,21,47,56,56,59,60,阪神,32
森　越,1,19,30,65,65,63,60,阪神,37
陽　川,4,17,63,59,68,26,24,阪神,55
小宮山,2,16,35,55,69,56,23,阪神,59
熊　谷,1,15,27,79,68,53,45,阪神,4
江　越,3,15,68,85,83,66,52,阪神,25
小豆畑,2,13,39,54,77,41,43,阪神,52
坂　本,3,70,65,74,80,84,63,巨人,6
マギー,3,70,70,35,54,58,48,巨人,33
陽,3,56,64,72,60,68,55,巨人,2
長　野,3,55,67,66,78,43,49,巨人,7
ゲレーロ,4,50,88,48,77,60,46,巨人,5
阿　部,4,46,69,15,51,27,41,巨人,10
宇佐見,3,44,59,35,70,45,38,巨人,27
亀　井,3,44,56,70,80,64,59,巨人,9
田中俊,2,40,42,60,40,58,48,巨人,63
脇　谷,2,39,29,67,68,44,38,巨人,12
石　川,3,38,56,66,66,48,42,巨人,49
立　岡,2,38,36,70,67,58,39,巨人,58
中　井,3,38,48,50,65,40,40,巨人,61
北　村,3,33,44,52,48,48,45,巨人,52
橋本到,2,30,41,65,74,61,42,巨人,32
山　本,3,30,45,67,67,50,39,巨人,56
増　田,2,29,38,68,60,48,45,巨人,98
田中貴,2,28,32,41,68,46,50,巨人,69
岡　本,3,27,55,43,49,39,38,巨人,25
吉川尚,2,27,38,80,48,60,39,巨人,0
岸　田,2,26,39,55,73,48,46,巨人,38
青　山,2,26,56,60,48,42,40,巨人,99
大　城,2,25,38,43,74,44,43,巨人,46
辻,3,24,39,61,77,38,31,巨人,65
湯　浅,2,24,32,58,42,42,39,巨人,93
寺　内,2,24,29,67,75,67,55,巨人,00
若　林,2,23,45,70,68,56,52,巨人,60
小　林,2,22,42,29,88,58,70,巨人,22
村　上,3,21,49,68,60,44,42,巨人,66
吉川大,3,19,32,70,63,45,28,巨人,68
河　野,2,19,38,47,74,42,35,巨人,94
重　信,1,19,25,83,64,60,32,巨人,43
和田恋,3,18,37,47,74,40,27,巨人,67
柿　澤,3,18,36,68,70,28,30,巨人,59
松　山,3,72,67,50,72,37,29,広島,44
丸,3,71,71,70,64,80,51,広島,9
安　部,2,70,46,72,66,66,47,広島,6
鈴　木,3,70,75,68,88,60,39,広島,51
新　井,3,60,63,44,47,58,60,広島,25
田　中,3,60,58,74,58,72,45,広島,2
會　澤,3,52,60,44,66,46,41,広島,27
西　川,2,50,51,72,58,60,51,広島,63
菊　池,3,50,60,72,76,83,80,広島,33
エルドレッド,4,47,80,23,71,61,55,広島,55
