選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
バレンティン,4,71,97,56,80,45,45,ヤクルト,4
山　田,3,58,47,71,58,51,44,ヤクルト,23
川　端,3,57,50,70,58,52,51,ヤクルト,5
相　川,3,54,51,50,64,62,62,ヤクルト,2
上　田,2,51,41,80,67,45,44,ヤクルト,50
雄　平,3,50,55,51,65,43,36,ヤクルト,41
ミレッジ,3,47,65,73,71,66,47,ヤクルト,85
岩　村,3,47,57,45,60,57,47,ヤクルト,48
宮　本,2,47,39,45,59,75,92,ヤクルト,6
松井淳,4,46,67,59,56,39,38,ヤクルト,57
中　村,3,43,46,65,80,51,43,ヤクルト,52
三　輪,1,40,30,88,45,54,51,ヤクルト,60
田中浩,2,40,43,67,58,81,81,ヤクルト,7
田中雅,2,39,43,63,50,49,37,ヤクルト,28
野　口,2,37,39,72,40,46,49,ヤクルト,55
新　田,3,37,50,50,57,32,33,ヤクルト,32
川　島,3,37,48,75,66,65,46,ヤクルト,00
畠　山,3,36,65,29,51,51,36,ヤクルト,33
藤　本,2,35,44,60,38,55,73,ヤクルト,10
荒　木,3,35,48,64,58,51,46,ヤクルト,24
比屋根,3,34,41,90,55,50,51,ヤクルト,0
森　岡,3,33,44,53,53,51,50,ヤクルト,68
谷　内,2,33,36,57,57,54,47,ヤクルト,46
ユウイチ,3,32,40,38,43,34,30,ヤクルト,31
楠　城,2,30,51,59,50,43,47,ヤクルト,56
水　野,2,29,38,52,57,43,46,ヤクルト,59
星　野,3,27,46,40,69,41,32,ヤクルト,37
飯　原,3,27,46,78,68,41,39,ヤクルト,9
水　田,2,26,36,62,52,56,56,ヤクルト,54
西　田,2,25,41,51,71,31,30,ヤクルト,30
武　内,3,25,52,48,47,71,65,ヤクルト,8
又　野,3,24,50,37,57,29,26,ヤクルト,39
川　上,3,24,40,65,62,37,35,ヤクルト,36
マートン,3,64,61,53,46,52,49,阪神,9
今　成,2,58,44,56,57,46,43,阪神,49
西　岡,2,56,48,77,69,70,44,阪神,7
新　井,3,55,64,44,47,49,36,阪神,25
日　高,3,52,59,35,54,57,52,阪神,37
鳥　谷,3,50,54,72,70,74,86,阪神,1
柴　田,2,49,44,83,58,40,37,阪神,00
坂,2,48,49,70,54,59,58,阪神,35
桧　山,3,46,41,40,43,36,50,阪神,24
大　和,1,44,38,79,69,71,80,阪神,0
関　本,3,43,44,40,49,54,51,阪神,3
上　本,3,42,36,60,46,64,52,阪神,4
森　田,3,41,55,52,34,30,31,阪神,69
藤　井,2,41,42,39,56,58,74,阪神,50
浅　井,3,41,48,57,61,54,52,阪神,5
黒　瀬,3,39,56,60,55,35,27,阪神,38
田　上,1,39,22,80,68,59,58,阪神,61
岡　崎,3,39,47,46,83,36,44,阪神,57
狩　野,3,39,51,58,58,42,32,阪神,99
野　原,3,36,48,56,60,40,41,阪神,67
西　田,3,36,40,56,47,21,28,阪神,33
林威助,3,36,55,55,42,33,31,阪神,31
俊　介,3,36,41,77,62,68,74,阪神,68
高　山,3,34,51,49,65,45,38,阪神,62
一二三,3,34,42,61,50,25,34,阪神,36
新井良,3,33,62,51,45,34,22,阪神,32
伊藤隼,3,31,50,71,65,40,42,阪神,51
清　水,2,30,39,53,53,52,41,阪神,45
中　谷,3,29,44,48,69,28,28,阪神,60
荒　木,2,28,29,84,49,38,44,阪神,58
コンラッド,3,27,55,40,43,48,39,阪神,42
小宮山,2,25,35,58,70,51,44,阪神,39
橋　本,3,24,50,41,57,25,26,阪神,66
福　留,3,22,66,61,78,78,63,阪神,8
緒　方,3,21,41,72,69,44,42,阪神,65
北　條,3,21,42,61,61,36,29,阪神,2
小豆畑,3,17,39,55,75,45,46,阪神,52
村　田,4,65,71,40,69,62,44,巨人,25
ロペス,3,65,72,48,66,57,52,巨人,5
阿　部,4,61,84,24,70,68,53,巨人,10
ボウカー,3,61,72,53,65,61,51,巨人,42
高橋由,4,61,64,46,60,58,61,巨人,24
坂　本,3,56,64,74,69,66,35,巨人,6
中　井,3,56,57,50,58,38,39,巨人,61
矢　野,3,55,42,65,59,44,56,巨人,48
亀　井,3,51,52,72,80,74,58,巨人,9
松本哲,1,47,28,77,58,77,75,巨人,31
谷,3,46,52,45,56,55,46,巨人,8
長　野,3,44,65,72,80,62,63,巨人,7
脇　谷,2,43,48,71,67,58,41,巨人,23
小笠原,3,42,51,44,56,52,39,巨人,2
寺　内,2,41,38,67,72,62,43,巨人,00
加治前,3,39,50,52,53,52,47,巨人,50
石　井,3,37,44,58,43,33,34,巨人,33
鈴　木,2,37,32,90,48,59,76,巨人,12
辻,3,33,48,61,74,41,41,巨人,93
横　川,3,33,55,56,60,41,40,巨人,36
古　城,2,33,42,59,50,56,44,巨人,51
藤　村,1,32,31,94,44,55,44,巨人,0
實　松,3,32,51,39,68,51,45,巨人,27
井　野,2,30,41,44,64,51,34,巨人,38
橋　本,2,30,41,65,73,61,42,巨人,32
坂　口,3,29,55,51,69,43,44,巨人,56
大　田,3,29,60,66,60,42,33,巨人,55
加　藤,2,29,37,39,57,46,57,巨人,40
立　岡,2,29,38,68,64,42,24,巨人,58
大　累,1,26,26,87,55,48,42,巨人,39
隠　善,2,26,44,65,56,52,54,巨人,52
高橋洸,1,24,38,66,62,43,37,巨人,67
鬼屋敷,2,24,44,58,74,35,33,巨人,64
河　野,2,23,42,47,72,38,52,巨人,95
高　口,2,22,31,55,57,63,52,巨人,53
市　川,2,20,32,62,62,46,46,巨人,69
前　田,4,59,50,19,24,23,21,広島,1
丸,3,58,53,70,60,62,46,広島,63
松　山,4,56,66,50,64,36,29,広島,37
廣　瀬,3,51,63,59,69,78,56,広島,26
ルイス,3,51,53,78,64,39,39,広島,41
梵,3,50,56,59,58,52,39,広島,6
中　東,2,49,39,71,62,62,49,広島,00
岩　本,4,49,61,42,51,40,33,広島,10
キ　ラ,4,48,73,49,63,43,50,広島,13
東　出,1,45,39,77,54,58,67,広島,2
石　原,3,44,49,43,63,60,69,広島,31
小　窪,2,44,45,49,48,48,43,広島,4
迎,3,43,50,70,63,45,46,広島,44
栗　原,3,42,64,49,47,49,54,広島,5
菊　池,3,41,52,82,69,84,19,広島,33
赤　松,3,39,50,91,74,79,72,広島,38
ニック,4,38,71,39,64,42,56,広島,70
天　谷,2,38,55,84,41,51,64,広島,49
松　本,2,37,39,81,61,53,40,広島,45
エルドレッド,4,36,71,48,67,41,45,広島,55
會　澤,3,35,54,44,66,46,41,広島,64
木　村,2,34,42,67,61,64,64,広島,66
鈴木誠,3,34,51,70,65,36,39,広島,51
鈴木将,2,34,53,73,72,38,37,広島,50
庄　司,2,33,42,52,63,55,42,広島,52
安　部,2,33,46,72,62,60,47,広島,60
堂　林,3,32,61,56,50,38,13,広島,7
倉,2,29,48,46,58,40,68,広島,40
土　生,3,29,44,58,65,52,50,広島,43
下水流,2,27,44,68,71,63,54,広島,35
磯　村,2,27,47,39,55,39,41,広島,61
中村憲,2,26,35,68,63,40,38,広島,99
申,4,25,53,45,60,31,29,広島,68
白　濱,2,24,40,36,57,42,54,広島,32
美　間,3,23,45,49,68,19,30,広島,59
上　村,2,22,33,61,54,51,58,広島,27
上　本,3,22,39,62,58,50,61,広島,0
ル　ナ,3,88,61,54,62,48,50,中日,0
森　野,3,54,67,48,56,60,60,中日,30
和　田,3,53,70,45,58,58,69,中日,5
大　島,2,53,46,87,59,72,68,中日,8
谷　繁,3,50,54,38,59,71,81,中日,27
クラーク,3,46,75,41,54,43,40,中日,60
藤　井,3,46,49,75,83,47,46,中日,4
荒　木,3,41,43,75,50,87,74,中日,2
井　端,2,39,44,57,60,70,86,中日,6
松井佑,3,38,49,60,73,43,43,中日,56
平　田,3,37,59,55,61,55,52,中日,40
野　本,3,36,48,56,55,53,51,中日,9
中田亮,3,35,48,56,43,47,47,中日,50
田　中,2,34,45,47,70,43,50,中日,58
谷,2,34,47,68,58,46,42,中日,36
堂上剛,3,34,53,51,66,45,42,中日,63
柳　田,3,33,51,53,54,45,40,中日,53
堂上直,3,32,44,56,62,55,64,中日,1
高橋周,3,31,50,50,57,42,38,中日,31
古　本,3,31,43,51,61,41,44,中日,66
吉　田,2,30,38,54,66,40,44,中日,57
前　田,3,30,47,40,59,47,54,中日,38
福　田,3,30,48,46,62,45,45,中日,55
