選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
由　規,161,39,68,6,4,0,2,0,0,ヤクルト,11
林昌勇,157,66,45,7,4,0,3,0,0,ヤクルト,12
館　山,155,68,73,7,4,0,3,0,0,ヤクルト,25
平　井,153,36,51,3,0,0,2,0,1,ヤクルト,67
一　場,152,35,52,2,0,0,1,0,1,ヤクルト,43
押　本,152,62,42,6,3,0,3,0,0,ヤクルト,65
橋　本,152,58,41,3,1,0,0,0,2,ヤクルト,35
バーネット,151,38,53,4,2,0,2,0,0,ヤクルト,34
松　岡,151,72,47,7,3,0,4,0,0,ヤクルト,21
村　中,150,37,66,7,0,0,3,4,0,ヤクルト,15
山本斉,148,38,56,3,2,1,0,0,0,ヤクルト,63
川島亮,147,33,61,4,2,0,2,0,0,ヤクルト,17
松井光,147,42,45,4,1,0,2,0,1,ヤクルト,44
石　井,147,53,30,3,0,2,1,0,0,ヤクルト,61
赤　川,147,44,38,3,2,0,1,0,0,ヤクルト,47
山本哲,145,54,38,2,0,0,2,0,0,ヤクルト,20
渡　辺,145,34,30,3,2,0,0,1,0,ヤクルト,48
日　高,145,42,39,3,0,0,0,2,1,ヤクルト,45
石　川,145,71,72,7,2,3,0,0,2,ヤクルト,19
増　渕,145,41,66,7,3,0,0,4,0,ヤクルト,22
七　條,144,43,62,4,1,2,1,0,0,ヤクルト,42
吉　川,144,36,36,2,0,0,0,0,2,ヤクルト,62
中　澤,143,49,54,4,0,0,1,1,2,ヤクルト,14
山　岸,143,58,48,4,1,0,3,0,0,ヤクルト,51
久　古,142,48,40,2,0,0,0,0,2,ヤクルト,26
八　木,141,54,35,3,2,1,0,0,0,ヤクルト,70
高　木,141,55,51,4,0,0,1,2,1,ヤクルト,58
高　市,141,59,51,2,0,0,0,2,0,ヤクルト,54
加　藤,139,37,52,3,0,2,1,0,0,ヤクルト,16
佐　藤,138,54,33,4,2,0,0,2,0,ヤクルト,13
久保田,156,64,41,5,2,0,3,0,0,阪神,30
藤　川,156,64,42,6,0,2,4,0,0,阪神,22
メッセンジャー,153,57,60,4,1,0,3,0,0,阪神,54
小林宏,150,67,39,6,2,0,4,0,0,阪神,41
鄭凱文,150,46,57,4,3,0,1,0,0,阪神,40
一二三,150,38,52,3,0,0,0,1,2,阪神,36
若　竹,149,44,54,3,0,0,1,0,2,阪神,49
西　村,149,71,51,5,4,1,0,0,0,阪神,43
渡　辺,149,64,48,5,3,0,2,0,0,阪神,12
久　保,149,70,78,7,3,0,2,0,2,阪神,34
能　見,148,73,64,6,0,0,2,0,4,阪神,14
スタンリッジ,148,64,65,5,3,2,0,0,0,阪神,55
蕭一傑,148,56,45,3,0,0,0,2,1,阪神,19
白仁田,148,41,49,3,0,0,1,0,2,阪神,64
石　川,147,44,48,3,0,0,2,1,0,阪神,48
二　神,147,46,51,4,0,0,0,1,3,阪神,18
岩　田,147,67,63,5,0,0,2,0,3,阪神,21
榎　田,146,47,55,5,0,0,3,0,2,阪神,13
藤　原,146,66,41,4,0,0,3,0,1,阪神,15
福　原,146,44,33,4,0,3,1,0,0,阪神,28
江　草,146,29,39,3,1,0,2,0,0,阪神,26
安　藤,146,41,38,4,0,0,1,0,3,阪神,16
上　園,146,34,63,4,0,0,3,0,1,阪神,47
川　崎,146,60,36,3,1,0,2,0,0,阪神,62
杉　山,146,42,49,4,0,0,0,1,3,阪神,17
秋　山,145,58,61,6,0,0,4,2,0,阪神,27
鶴,145,36,53,4,3,0,0,0,1,阪神,46
小　嶋,145,48,52,4,0,0,1,0,3,阪神,29
岩　本,144,48,44,4,0,0,2,0,2,阪神,59
阿　部,144,61,57,4,0,0,1,0,3,阪神,56
清　原,144,48,33,4,0,0,0,2,2,阪神,65
筒　井,144,45,42,4,2,0,2,0,0,阪神,20
横　山,141,44,48,4,0,0,2,0,2,阪神,68
加　藤,141,37,41,4,0,0,1,1,2,阪神,63
下　柳,140,61,57,5,2,0,1,0,2,阪神,42
澤　村,157,41,57,5,3,0,2,0,0,巨人,15
越　智,153,55,47,4,0,0,4,0,0,巨人,22
小　野,152,24,38,2,0,0,0,1,1,巨人,60
ロメロ,151,47,41,5,3,0,2,0,0,巨人,39
福　田,151,58,32,3,0,0,0,0,3,巨人,59
辻　内,151,30,32,3,2,1,0,0,0,巨人,98
アルバラデホ,151,39,41,5,3,2,0,0,0,巨人,41
西　村,150,48,51,4,1,0,0,0,3,巨人,35
山　口,150,69,47,7,1,0,2,0,4,巨人,47
トーレス,150,34,58,5,3,2,0,0,0,巨人,42
林イー豪,150,29,30,4,0,0,2,0,2,巨人,96
黄志龍,149,29,32,3,1,0,0,0,2,巨人,97
久　保,149,73,48,7,3,1,3,0,0,巨人,11
小　山,149,29,38,3,0,0,2,0,1,巨人,94
土　本,149,57,39,2,0,0,2,0,0,巨人,46
田中太,148,25,36,3,0,1,0,0,2,巨人,68
金　刃,148,33,35,3,0,0,1,0,2,巨人,28
グライシンガー,148,69,60,5,2,0,3,0,0,巨人,29
ゴンザレス,148,55,57,4,0,3,1,0,0,巨人,49
東　野,148,64,65,7,4,2,1,0,0,巨人,17
高　木,147,49,42,7,0,0,2,3,2,巨人,13
朝　井,147,63,51,6,1,3,2,0,0,巨人,38
宮　國,147,27,40,3,0,0,1,0,2,巨人,30
須　永,147,55,36,3,0,0,0,2,1,巨人,37
MICHEAL,147,74,39,6,0,4,2,0,0,巨人,36
星　野,147,35,41,5,3,0,2,0,0,巨人,95
野間口,146,39,53,4,0,1,0,1,2,巨人,45
齋　藤,145,25,39,2,0,0,1,0,1,巨人,67
笠　原,145,26,38,2,0,0,0,1,1,巨人,93
藤　井,145,61,57,6,0,0,3,2,1,巨人,99
内　海,145,65,69,7,0,0,4,2,1,巨人,26
上　野,144,28,41,3,2,1,0,0,0,巨人,62
古　川,144,27,41,3,2,0,0,0,1,巨人,57
中　里,144,29,42,3,0,0,1,0,2,巨人,63
サファテ,155,40,47,4,0,1,3,0,0,広島,58
前田健,152,86,88,9,4,3,2,0,0,広島,18
大　竹,151,54,66,5,2,0,2,0,1,広島,17
ソリアーノ,151,33,63,3,0,0,1,0,2,広島,99
中　村,151,34,48,2,2,0,0,0,0,広島,22
宮　崎,150,41,54,3,0,0,1,0,2,広島,54
金　丸,150,37,44,3,1,0,0,0,2,広島,30
福　井,150,34,60,5,3,0,2,0,0,広島,11
永　川,150,28,40,4,0,0,4,0,0,広島,20
シュルツ,150,56,36,3,2,0,1,0,0,広島,70
武　内,149,32,38,3,0,0,1,0,2,広島,12
小　松,148,44,55,3,0,0,1,0,2,広島,41
今　村,148,55,57,4,1,0,3,0,0,広島,16
中　田,148,60,51,4,2,0,2,0,0,広島,34
バリントン,148,61,62,4,2,0,2,0,0,広島,42
岸　本,147,41,43,3,0,0,2,0,1,広島,48
弦　本,147,13,32,2,0,0,2,0,0,広島,69
大　島,146,50,45,4,2,0,2,0,0,広島,46
横　山,146,66,39,7,3,1,3,0,0,広島,23
今　井,146,48,62,4,0,0,2,0,2,広島,62
中　崎,145,31,38,2,0,0,0,1,1,広島,56
上　野,145,48,39,3,1,0,1,0,1,広島,19
菊地原,145,36,33,3,2,0,0,0,1,広島,36
篠　田,145,52,69,3,0,0,1,0,2,広島,14
豊　田,145,67,36,4,0,0,4,0,0,広島,33
齋　藤,144,52,59,4,0,0,1,1,2,広島,21
梅　津,144,68,36,4,3,0,0,1,0,広島,39
ジ　オ,144,44,65,4,1,0,3,0,0,広島,91
岩　見,144,45,54,3,0,0,1,0,2,広島,28
青　木,144,70,50,4,0,0,2,2,0,広島,47
林,144,56,37,5,1,0,0,0,4,広島,53
相　澤,144,55,40,4,2,0,0,2,0,広島,65
伊　東,144,55,42,3,1,2,0,0,0,広島,67
川　口,142,55,47,2,2,0,0,0,0,広島,57
浅　尾,156,80,39,6,2,0,4,0,0,中日,41
ネルソン,154,38,62,5,2,0,3,0,0,中日,49
チェン,154,70,74,8,0,0,3,0,5,中日,21
高　橋,153,64,35,8,0,0,4,1,3,中日,67
伊藤準,153,48,42,3,0,0,1,2,0,中日,18
清　水,152,37,41,4,2,0,2,0,0,中日,12
中田賢,152,41,76,7,3,0,4,0,0,中日,20
山　井,151,61,68,5,0,3,1,0,1,中日,29
鈴　木,150,59,34,5,3,0,0,0,2,中日,23
大　野,150,32,34,2,1,1,0,0,0,中日,22
高　島,148,31,35,2,0,0,1,0,1,中日,35
山　内,148,53,48,3,2,0,0,0,1,中日,26
朝　倉,148,60,51,5,1,0,2,0,2,中日,14
吉　見,148,77,70,7,3,0,2,0,2,中日,19
平　井,148,61,35,6,3,0,2,0,1,中日,33
関,147,30,35,2,0,0,1,0,1,中日,62
久　本,147,59,33,3,2,0,1,0,0,中日,61
小　熊,147,39,34,3,0,0,0,1,2,中日,64
