選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
宮　本,2,67,45,46,59,81,92,ヤクルト,6
川　端,3,56,50,70,58,52,51,ヤクルト,5
畠　山,3,52,78,29,51,44,31,ヤクルト,33
ミレッジ,3,51,59,73,58,56,52,ヤクルト,85
田中浩,2,50,44,67,58,76,81,ヤクルト,7
上　田,2,46,46,80,67,40,44,ヤクルト,50
相　川,3,45,48,50,64,62,62,ヤクルト,2
宮　出,3,44,54,52,58,46,37,ヤクルト,49
武　内,3,41,52,48,47,71,65,ヤクルト,8
森　岡,2,41,41,53,53,51,50,ヤクルト,68
藤　本,2,40,44,65,38,75,73,ヤクルト,10
雄　平,3,39,47,71,65,32,27,ヤクルト,41
福　地,2,38,41,83,34,65,64,ヤクルト,3
川　島,3,36,50,75,65,59,46,ヤクルト,00
三　輪,1,36,30,88,45,54,51,ヤクルト,60
山　田,3,35,44,71,59,48,43,ヤクルト,23
川　本,3,33,46,61,52,44,43,ヤクルト,28
福　川,2,33,44,41,70,41,31,ヤクルト,37
ユウイチ,3,32,51,41,43,34,30,ヤクルト,31
バレンティン,4,32,85,56,80,45,38,ヤクルト,4
中　村,2,31,39,65,77,41,37,ヤクルト,52
水　田,2,31,35,62,52,56,56,ヤクルト,54
楠　城,2,30,51,59,50,43,47,ヤクルト,56
荒　木,3,30,43,64,60,52,51,ヤクルト,24
比屋根,3,27,41,90,55,50,51,ヤクルト,0
飯　原,3,27,50,78,72,41,39,ヤクルト,9
川　上,3,26,40,65,62,37,35,ヤクルト,36
野　口,2,26,44,72,40,46,49,ヤクルト,55
松井淳,3,26,55,59,56,41,38,ヤクルト,57
西　田,2,25,41,51,71,31,30,ヤクルト,30
新　田,3,25,47,50,57,32,33,ヤクルト,32
水　野,2,25,38,52,57,43,46,ヤクルト,59
又　野,3,24,50,37,57,31,26,ヤクルト,39
マートン,3,65,61,53,46,62,49,阪神,9
鳥　谷,3,63,56,72,70,74,86,阪神,1
平　野,1,60,39,69,58,86,63,阪神,5
ブラゼル,4,55,72,38,51,42,60,阪神,67
新　井,3,54,63,44,47,66,58,阪神,25
上　本,3,52,46,75,46,64,52,阪神,4
関　本,3,52,46,40,49,54,51,阪神,3
桧　山,3,52,43,40,43,36,50,阪神,24
柴　田,2,52,44,83,58,40,37,阪神,00
大　和,1,45,26,79,69,71,76,阪神,0
坂,2,45,49,70,54,59,58,阪神,35
野原将,3,44,48,56,60,40,41,阪神,37
森　田,3,41,55,52,34,30,31,阪神,69
林威助,3,41,57,55,42,33,31,阪神,31
藤　井,2,41,43,39,52,58,76,阪神,50
俊　介,3,41,47,77,65,68,74,阪神,7
野原祐,3,40,52,60,51,34,35,阪神,94
黒　瀬,3,39,56,60,55,35,27,阪神,38
田　上,1,37,27,80,68,59,58,阪神,61
伊藤隼,3,37,48,71,65,53,47,阪神,51
金　本,3,36,60,41,14,19,40,阪神,6
狩　野,3,35,51,68,58,42,32,阪神,99
新井良,3,35,52,51,47,47,46,阪神,32
原　口,3,35,40,54,64,35,32,阪神,52
西　田,3,34,40,56,47,21,28,阪神,33
城　島,4,33,63,34,68,43,45,阪神,2
小宮山,2,32,35,58,66,45,55,阪神,39
浅　井,3,31,48,57,61,54,52,阪神,8
一二三,3,30,35,61,50,25,34,阪神,36
清　水,2,30,39,53,54,52,41,阪神,45
中　谷,3,29,44,48,69,28,28,阪神,60
荒　木,2,28,29,84,49,38,44,阪神,58
橋　本,3,24,50,41,57,25,26,阪神,66
甲　斐,3,23,53,73,82,52,56,阪神,44
長　野,3,71,71,68,77,62,51,巨人,7
阿　部,3,61,78,33,70,61,77,巨人,10
ボウカー,3,58,61,53,60,55,46,巨人,36
谷,3,54,51,52,56,55,48,巨人,8
高橋由,4,51,67,46,62,55,61,巨人,24
坂　本,3,49,66,69,65,60,31,巨人,6
村　田,4,48,75,31,63,47,51,巨人,25
亀　井,3,45,51,72,82,74,58,巨人,9
矢　野,3,44,42,65,59,44,55,巨人,48
小笠原,3,42,62,44,56,52,39,巨人,2
藤　村,1,40,31,94,44,55,44,巨人,0
石　井,3,40,48,58,43,33,34,巨人,33
松本哲,1,35,28,74,58,72,75,巨人,31
古　城,2,34,42,59,50,52,33,巨人,51
中　谷,2,33,49,41,56,54,62,巨人,44
隠　善,2,33,32,65,56,52,54,巨人,52
橋　本,2,32,34,65,69,33,38,巨人,32
中　井,3,31,37,50,59,41,39,巨人,61
大　田,3,30,57,63,60,30,33,巨人,55
鈴　木,2,29,32,90,56,59,76,巨人,12
加　藤,2,29,37,39,57,46,57,巨人,40
田中大,3,29,45,46,60,46,46,巨人,66
加治前,3,28,50,52,50,52,51,巨人,50
實　松,3,28,47,39,68,46,38,巨人,27
高　口,2,25,31,55,57,63,52,巨人,53
