選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
カラシティー,156,41,48,4,0,0,4,0,0,ヤクルト,37
梅　野,154,36,45,3,0,0,1,0,2,ヤクルト,38
星,153,44,60,6,0,0,3,0,3,ヤクルト,24
石　山,152,57,59,5,0,0,3,2,0,ヤクルト,12
ブキャナン,152,69,67,8,0,3,0,3,2,ヤクルト,28
由　規,152,35,57,6,0,0,1,2,3,ヤクルト,11
平　井,152,34,46,6,0,0,3,0,3,ヤクルト,67
中　尾,151,37,53,3,2,0,1,0,0,ヤクルト,13
風　張,151,39,52,5,0,0,2,1,2,ヤクルト,64
蔵　本,151,31,51,3,0,0,1,0,2,ヤクルト,22
沼　田,151,40,47,2,0,0,2,0,0,ヤクルト,53
大　下,150,52,46,6,0,0,0,3,3,ヤクルト,15
近　藤,150,46,51,6,0,2,0,1,3,ヤクルト,70
原樹理,149,48,66,8,3,0,0,1,4,ヤクルト,16
アルメンゴ,149,45,70,6,3,0,3,0,0,ヤクルト,40
山　本,149,40,44,3,0,0,3,0,0,ヤクルト,20
秋　吉,149,65,46,8,0,2,0,0,6,ヤクルト,14
小　川,149,70,73,7,0,0,4,0,3,ヤクルト,29
村　中,149,36,59,6,0,1,4,1,0,ヤクルト,43
菊　沢,148,41,46,3,0,0,1,0,2,ヤクルト,35
松　岡,148,56,56,6,1,0,4,0,1,ヤクルト,21
ハ　フ,148,55,62,7,4,0,3,0,0,ヤクルト,45
館　山,147,31,47,5,0,0,4,0,1,ヤクルト,25
金久保,147,35,40,3,0,0,1,0,2,ヤクルト,48
寺　島,146,55,52,5,2,1,2,0,0,ヤクルト,18
高　橋,145,32,50,4,3,0,1,0,0,ヤクルト,47
屋　宜,143,42,56,2,0,0,2,0,0,ヤクルト,58
岩　橋,143,46,41,4,1,0,3,0,0,ヤクルト,44
中　澤,143,54,55,5,3,0,0,1,1,ヤクルト,54
山田大,142,47,61,4,3,1,0,0,0,ヤクルト,34
久　古,141,53,30,6,5,0,0,0,1,ヤクルト,26
石　川,140,59,51,6,2,0,0,3,1,ヤクルト,19
成　瀬,136,57,65,6,3,0,0,3,0,ヤクルト,17
山　中,130,58,64,7,0,2,0,2,3,ヤクルト,68
ドリス,161,47,42,8,0,0,6,0,2,阪神,98
藤　浪,159,15,90,9,0,0,5,0,4,阪神,19
マテオ,157,43,50,8,0,0,2,0,6,阪神,38
モレノ,156,39,40,4,0,0,3,0,1,阪神,48
望　月,155,31,47,3,0,0,1,1,1,阪神,61
石　崎,155,40,46,5,1,0,0,0,4,阪神,30
馬　場,155,39,60,4,0,0,3,0,1,阪神,18
メッセンジャー,153,60,91,9,0,0,3,5,1,阪神,54
小　野,152,33,64,6,0,0,3,1,2,阪神,28
桑　原,152,68,49,6,0,0,0,0,6,阪神,64
牧,152,25,44,2,0,0,1,0,1,阪神,66
福　永,152,26,55,4,1,0,0,2,1,阪神,40
高橋遥,151,20,56,3,2,0,1,0,0,阪神,29
松　田,151,30,43,6,0,0,3,1,2,阪神,56
藤　川,150,44,48,6,0,0,4,2,0,阪神,22
才　木,150,32,53,4,0,0,2,0,2,阪神,35
浜　地,150,41,46,3,0,0,1,0,2,阪神,36
尾　仲,150,36,45,3,0,0,1,0,2,阪神,27
谷　川,149,53,58,4,1,0,2,0,1,阪神,34
岩　崎,149,55,52,9,0,5,0,4,0,阪神,67
高橋聡,148,61,38,8,3,0,5,0,0,阪神,41
島　本,148,32,50,7,2,0,3,0,2,阪神,69
岩　田,148,49,77,7,0,4,3,0,0,阪神,21
秋　山,148,90,75,7,0,0,3,2,2,阪神,46
岩　貞,148,46,77,8,3,2,3,0,0,阪神,17
呂,148,32,50,5,4,0,1,0,0,阪神,26
守　屋,148,36,51,3,0,0,2,1,0,阪神,43
竹　安,147,46,55,4,0,0,3,1,0,阪神,42
青　柳,147,28,58,8,3,0,1,0,4,阪神,50
能　見,146,62,69,7,3,0,4,0,0,阪神,14
伊藤和,146,29,40,5,0,0,4,0,1,阪神,92
榎　田,145,41,60,7,4,2,0,0,1,阪神,13
藤　谷,144,30,51,3,0,0,1,2,0,阪神,45
横　山,144,46,61,6,2,1,3,0,0,阪神,15
山　本,142,60,47,5,2,0,1,0,2,阪神,47
カミネロ,161,42,41,8,0,0,5,0,3,巨人,44
マシソン,158,65,44,10,0,0,5,0,5,巨人,20
廖任磊,156,20,45,4,0,0,0,3,1,巨人,97
菅　野,156,91,88,9,0,0,2,2,5,巨人,19
高　田,154,33,48,4,0,0,2,0,2,巨人,53
篠　原,153,39,41,7,0,0,4,0,3,巨人,62
澤　村,153,47,48,6,0,0,3,0,3,巨人,15
鍬　原,152,35,50,3,0,2,0,0,1,巨人,29
畠,152,50,64,5,0,0,1,0,4,巨人,28
宮　國,152,52,52,7,1,0,4,0,2,巨人,30
