選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
由　規,158,33,54,4,0,0,1,0,3,ヤクルト,11
カーペンター,157,29,50,4,0,0,0,0,4,ヤクルト,56
バーネット,156,40,43,5,0,1,0,1,3,ヤクルト,34
村　中,152,35,60,6,0,2,4,0,0,ヤクルト,15
平　井,152,37,46,4,1,0,0,0,3,ヤクルト,67
山本哲,151,45,44,4,0,0,4,0,0,ヤクルト,20
石　山,150,40,56,3,0,0,3,0,0,ヤクルト,12
ロマン,150,62,64,6,0,1,5,0,0,ヤクルト,53
館　山,149,67,68,6,1,0,2,0,3,ヤクルト,25
ナーブソン,149,56,60,5,1,1,0,3,0,ヤクルト,38
八　木,149,50,69,4,2,1,0,1,0,ヤクルト,70
杉　浦,149,55,51,4,0,0,2,0,2,ヤクルト,18
大　場,148,25,35,4,0,0,3,1,0,ヤクルト,49
金　伏,148,29,52,3,2,0,1,0,0,ヤクルト,91
松　岡,148,52,57,5,1,0,3,0,1,ヤクルト,21
江　村,148,39,37,6,0,0,4,2,0,ヤクルト,43
小　川,148,73,76,7,0,0,3,0,4,ヤクルト,29
秋　吉,147,63,46,6,0,0,2,0,4,ヤクルト,14
押　本,147,43,54,4,0,0,1,0,3,ヤクルト,65
山本斉,147,47,50,4,2,0,0,0,2,ヤクルト,63
七　條,147,55,48,3,0,0,1,1,1,ヤクルト,42
新　垣,146,30,62,4,1,0,3,0,0,ヤクルト,45
木　谷,145,53,63,5,0,0,4,0,1,ヤクルト,16
古　野,145,48,51,5,1,0,1,0,3,ヤクルト,40
赤　川,145,43,61,4,3,0,0,0,1,ヤクルト,47
阿　部,145,51,47,4,0,0,2,0,2,ヤクルト,58
田　川,145,26,35,3,0,0,2,0,1,ヤクルト,35
岩　橋,144,52,41,4,1,0,3,0,0,ヤクルト,44
真　田,143,44,52,4,2,0,0,0,2,ヤクルト,66
徳　山,143,41,48,4,0,0,2,0,2,ヤクルト,62
児　山,142,36,34,3,1,0,0,2,0,ヤクルト,61
久　古,140,50,35,4,3,0,1,0,0,ヤクルト,26
石　川,139,61,67,6,2,0,0,3,1,ヤクルト,19
中　澤,138,52,55,2,1,0,0,0,1,ヤクルト,54
山　中,125,60,62,4,0,1,0,2,1,ヤクルト,68
藤　浪,156,47,63,8,0,0,2,0,6,阪神,19
メッセンジャー,154,65,85,9,0,0,4,3,2,阪神,54
呉昇桓,154,70,43,6,0,0,2,0,4,阪神,22
福　原,152,62,44,6,0,0,2,1,3,阪神,28
田　面,151,22,38,3,0,0,2,0,1,阪神,41
松　田,150,53,39,3,0,0,1,0,2,阪神,56
金　田,150,50,49,6,0,0,3,0,3,阪神,48
岩　田,149,64,68,10,4,2,4,0,0,阪神,21
久保田,149,40,65,4,0,0,2,0,2,阪神,30
安　藤,148,68,46,6,1,0,2,0,3,阪神,16
岩　貞,148,52,61,5,3,0,0,2,0,阪神,17
白仁田,147,50,56,4,0,0,1,1,2,阪神,64
小　嶋,147,29,52,4,1,0,3,0,0,阪神,29
藤　原,147,45,42,4,3,1,0,0,0,阪神,15
鶴,147,55,52,6,3,0,2,0,1,阪神,46
秋　山,146,43,62,5,0,0,2,1,2,阪神,27
能　見,146,59,78,7,3,0,4,0,0,阪神,14
伊藤和,145,33,40,5,0,0,4,0,1,阪神,92
筒　井,145,54,53,6,3,0,0,3,0,阪神,20
二　神,145,52,53,4,0,0,1,1,2,阪神,66
歳　内,145,41,50,5,1,0,3,1,0,阪神,26
渡　辺,144,58,51,6,0,3,0,0,3,阪神,12
玉　置,144,49,43,5,0,0,2,3,0,阪神,97
加　藤,143,57,33,7,6,0,1,0,0,阪神,63
榎　田,143,37,60,7,3,3,0,1,0,阪神,13
西　村,143,44,40,3,0,0,3,0,0,阪神,43
建　山,143,62,41,4,0,1,0,0,3,阪神,53
岩　本,142,36,54,4,0,0,2,1,1,阪神,59
山　本,142,52,31,3,1,1,0,1,0,阪神,47
高　宮,142,48,36,5,0,3,0,2,0,阪神,34
岩　崎,142,66,62,6,0,4,1,1,0,阪神,67
吉　見,138,46,54,3,1,1,1,0,0,阪神,42
マシソン,158,53,49,6,0,0,1,1,4,巨人,20
メンドーサ,157,31,42,3,0,0,1,0,2,巨人,94
澤　村,154,61,77,7,0,0,2,1,4,巨人,15
菅　野,153,77,75,9,0,0,4,1,4,巨人,19
