選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
マクガフ,158,58,47,7,1,0,3,0,3,ヤクルト,37
杉　山,156,39,61,4,0,0,3,0,1,ヤクルト,35
イノーア,155,59,58,6,1,1,0,0,4,ヤクルト,25
梅　野,154,39,50,6,0,0,5,0,1,ヤクルト,38
奥　川,154,64,58,7,0,0,4,3,0,ヤクルト,11
クック,153,69,54,6,0,2,0,0,4,ヤクルト,33
高　橋,153,35,59,6,4,1,1,0,0,ヤクルト,47
石　山,152,66,48,6,0,0,4,2,0,ヤクルト,12
スアレス,152,55,65,6,0,0,0,4,2,ヤクルト,43
吉田大喜,152,60,50,6,0,0,3,1,2,ヤクルト,28
原樹理,151,64,72,7,2,0,2,0,3,ヤクルト,16
星,151,31,60,5,0,0,3,0,2,ヤクルト,24
五十嵐,151,46,45,8,0,0,4,4,0,ヤクルト,53
小　川,150,61,66,6,0,0,2,1,3,ヤクルト,29
平　井,150,34,46,5,0,0,4,0,1,ヤクルト,67
今　野,150,44,43,4,0,0,0,1,3,ヤクルト,69
鈴　木,150,33,41,3,0,0,1,0,2,ヤクルト,56
高　梨,150,46,57,6,0,0,3,2,1,ヤクルト,14
風　張,149,38,52,4,0,0,2,0,2,ヤクルト,64
市　川,149,35,45,4,2,0,0,0,2,ヤクルト,40
清　水,149,48,55,5,0,3,0,1,1,ヤクルト,17
長谷川,149,33,39,5,1,0,4,0,0,ヤクルト,90
大　下,148,55,52,7,1,0,3,0,3,ヤクルト,15
中　尾,148,43,53,5,2,0,3,0,0,ヤクルト,13
近　藤,148,47,51,7,0,0,2,1,4,ヤクルト,20
坂　本,148,36,57,5,3,0,2,0,0,ヤクルト,26
蔵　本,148,31,56,5,2,0,2,0,1,ヤクルト,99
大　西,148,44,54,4,0,0,3,0,1,ヤクルト,44
金久保,147,35,40,3,0,0,1,0,2,ヤクルト,48
田　川,147,26,48,4,0,0,2,0,2,ヤクルト,62
寺　島,146,47,52,5,2,1,2,0,0,ヤクルト,18
山田大,144,48,56,6,2,0,1,0,3,ヤクルト,34
久　保,144,36,41,3,3,0,0,0,0,ヤクルト,61
中　澤,143,54,55,6,3,0,0,2,1,ヤクルト,54
石　川,139,83,50,7,2,1,0,3,1,ヤクルト,19
山　中,125,51,64,6,0,1,0,2,3,ヤクルト,68
藤　浪,158,15,84,7,0,0,3,0,4,阪神,19
望　月,158,40,50,6,0,0,3,1,2,阪神,61
スアレス,158,38,50,5,0,1,1,0,3,阪神,75
エドワーズ,156,45,42,7,0,0,4,2,1,阪神,42
小　野,154,30,64,6,0,0,3,1,2,阪神,28
西　純,154,41,57,5,0,0,2,1,2,阪神,15
福　永,153,26,51,5,0,0,2,0,3,阪神,40
齋　藤,153,19,59,3,0,0,1,0,2,阪神,48
及　川,153,30,33,4,0,2,2,0,0,阪神,37
高　野,152,40,47,5,0,0,4,0,1,阪神,30
才　木,152,46,62,6,0,0,3,1,2,阪神,35
守　屋,152,53,45,7,0,0,4,1,2,阪神,43
高　橋,151,62,61,6,3,0,3,0,0,阪神,29
ガルシア,151,48,72,6,3,0,3,0,0,阪神,77
藤　川,151,41,48,7,0,0,6,1,0,阪神,22
湯　浅,151,41,44,4,0,0,2,0,2,阪神,65
飯　田,150,40,55,6,2,0,4,0,0,阪神,56
浜　地,150,41,54,5,0,0,2,1,2,阪神,36
中　田,150,35,61,7,0,0,3,1,3,阪神,20
ガンケル,150,60,61,6,2,0,1,0,3,阪神,49
能　見,149,44,49,6,2,0,4,0,0,阪神,14
岩　貞,149,55,70,7,1,3,3,0,0,阪神,17
小　川,149,36,40,3,0,2,0,0,1,阪神,66
尾　仲,148,39,45,6,0,0,2,0,4,阪神,27
谷　川,148,46,53,5,3,0,1,1,0,阪神,34
呂,148,32,50,4,3,0,1,0,0,阪神,26
桑　原,148,52,41,4,0,0,0,0,4,阪神,64
島　本,148,48,50,8,3,0,4,0,1,阪神,69
青　柳,148,63,62,9,3,0,1,0,5,阪神,50
秋　山,148,75,60,7,0,0,4,2,1,阪神,46
岩　崎,147,60,49,8,1,3,0,4,0,阪神,67
岩　田,147,57,66,7,0,4,3,0,0,阪神,21
伊藤和,147,29,40,6,0,0,5,0,1,阪神,92
川　原,147,47,34,2,0,0,2,0,0,阪神,47
西,146,76,77,6,2,1,0,1,2,阪神,16
馬　場,145,43,60,4,0,0,3,0,1,阪神,18
ビエイラ,163,29,38,5,0,0,4,0,1,巨人,49
デラロサ,161,52,53,9,0,2,5,0,2,巨人,12
澤　村,156,39,48,6,0,0,5,0,1,巨人,15
菅　野,155,70,79,9,0,0,3,2,4,巨人,18
サンチェス,154,62,64,8,0,3,2,3,0,巨人,20
高　田,154,37,52,5,0,0,2,0,3,巨人,53
堀　岡,154,36,48,3,0,0,3,0,0,巨人,95
太　田,153,41,53,3,0,0,0,2,1,巨人,33
鍵　谷,153,52,42,5,0,0,3,0,2,巨人,30
戸　郷,152,31,54,4,0,0,3,0,1,巨人,13
畠,152,50,57,5,0,0,2,0,3,巨人,31
中　川,151,58,56,6,0,5,1,0,0,巨人,41
堀　田,151,42,39,4,0,0,0,2,2,巨人,32
戸　根,150,35,51,7,3,2,0,2,0,巨人,50
高　橋,150,38,56,6,3,0,0,3,0,巨人,26
鍬　原,150,35,50,5,0,3,0,0,2,巨人,46
古　川,150,38,57,6,0,0,2,1,3,巨人,40
桜　井,150,53,65,8,0,0,3,3,2,巨人,35
今　村,149,46,60,6,1,0,4,0,1,巨人,45
メルセデス,148,70,70,8,4,2,2,0,0,巨人,42
宮　國,148,57,51,8,0,0,3,3,2,巨人,58
大　竹,148,55,52,8,3,2,0,0,3,巨人,17
高　木,148,58,45,8,2,3,3,0,0,巨人,57
田　原,147,59,42,7,0,1,0,4,2,巨人,63
井　上,146,40,38,4,2,0,2,0,0,巨人,91
田　口,146,52,64,8,3,0,3,2,0,巨人,28
野　上,146,58,51,8,0,3,3,0,2,巨人,23
岩　隈,145,59,57,6,0,0,3,0,3,巨人,21
直　江,145,44,45,4,0,1,0,1,2,巨人,54
池　田,145,41,51,5,2,0,0,3,0,巨人,68
藤　岡,145,38,66,5,1,3,1,0,0,巨人,47
横　川,144,36,39,4,2,2,0,0,0,巨人,62
大　江,144,39,45,5,3,0,2,0,0,巨人,64
