選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
由　規,158,40,84,7,0,0,1,0,6,ヤクルト,11
林昌勇,156,45,47,7,0,0,2,0,5,ヤクルト,12
平　井,153,36,43,4,0,0,1,0,3,ヤクルト,67
一　場,152,35,63,4,1,0,3,0,0,ヤクルト,43
小野寺,152,44,32,4,0,0,3,0,1,ヤクルト,29
館　山,152,77,79,8,3,0,2,0,3,ヤクルト,25
増　渕,152,47,62,6,0,3,0,0,3,ヤクルト,22
押　本,150,61,58,6,0,0,3,0,3,ヤクルト,65
バーネット,150,69,61,8,0,2,0,2,4,ヤクルト,34
フェルナンデス,150,29,49,2,0,0,0,0,2,ヤクルト,66
ロマン,149,42,72,5,0,0,3,2,0,ヤクルト,53
松　岡,149,66,51,7,0,0,5,2,0,ヤクルト,21
山本哲,148,37,44,3,0,0,3,0,0,ヤクルト,20
七　條,147,48,58,5,0,0,2,0,3,ヤクルト,42
村　中,147,42,65,6,0,2,4,0,0,ヤクルト,15
赤　川,147,53,61,6,4,0,1,0,1,ヤクルト,47
山本斉,147,52,55,6,3,0,0,0,3,ヤクルト,63
阿　部,147,50,49,4,0,0,3,1,0,ヤクルト,58
木　谷,145,34,47,4,0,0,3,0,1,ヤクルト,16
久　古,145,56,45,6,4,0,2,0,0,ヤクルト,26
松井光,145,56,52,6,4,0,2,0,0,ヤクルト,44
日　高,145,54,45,6,2,0,4,0,0,ヤクルト,45
中　根,145,39,41,4,0,0,2,0,2,ヤクルト,38
木　下,145,38,52,3,0,0,2,0,1,ヤクルト,62
太　田,144,40,40,4,2,2,0,0,0,ヤクルト,13
古　野,143,51,45,4,0,1,0,0,3,ヤクルト,40
山　岸,143,50,57,4,0,0,0,2,2,ヤクルト,51
正　田,143,41,56,4,1,3,0,0,0,ヤクルト,61
中　澤,142,57,55,4,0,2,0,2,0,ヤクルト,14
石　川,142,78,70,8,2,0,0,5,1,ヤクルト,19
八　木,141,39,40,4,2,0,0,2,0,ヤクルト,70
渡　辺,141,38,39,4,2,0,0,2,0,ヤクルト,48
加　藤,140,47,48,4,0,3,1,0,0,ヤクルト,46
藤　川,155,57,43,7,0,0,6,1,0,阪神,22
メッセンジャー,154,55,53,7,0,0,2,5,0,阪神,54
スタンリッジ,154,52,77,6,1,0,0,4,1,阪神,55
久保田,154,52,65,4,0,0,2,0,2,阪神,30
鄭,151,42,56,4,1,0,1,0,2,阪神,40
能　見,151,64,78,6,2,0,4,0,0,阪神,14
